Activity ID	Parameter	Process	Sub-Process	Activity	Standard / Expected Result	Trigger	Frequency	Due Rule	Doer	Checker	Accountable Owner	Priority	Evidence Type	Evidence Required	Dependency / Gate	Automation Rule	Failure Definition	Escalation L1	Escalation L2	Escalation L3	KPI	CAPA Requirement	Provenance	Status	Frozen Matrix Check
HK-001	Cleanliness & Housekeeping	Housekeeping	Clinical areas	Treatment-room cleaning	Clean before operations	TIME	DAILY	Opening, between patients, and closing	Housekeeping	Assistant	Clinic Manager	CRITICAL	CONFIRMATION	Checklist			Room readiness fails	Housekeeping	Clinic Manager	Clinic Head	Treatment-Room Hygiene %	REQUIRED_ON_REPEAT	DERIVED from Operation_App.xlsx sheet C + matrix Sheet1 sub-process timing + escalation CONFIRMED by owner 2026-08-06 ("missed rounds should reach Rahul"; Rahul is the Clinic Manager, recorded as the job)	PROPOSED	OPN-002 — readiness is the state at opening; this is the round that produces it
HK-002	Cleanliness & Housekeeping	Housekeeping	Clinical areas	Dental chair surfaces	Clean/disinfected	TIME	DAILY	Opening, between patients, and closing	Assistant		Clinic Manager	PATIENT_SAFETY	CONFIRMATION	Completion			Patient turnover blocked	Assistant	Clinic Manager	Clinic Head	Treatment-Room Hygiene %	REQUIRED_ON_CRITICAL	DERIVED from Operation_App.xlsx sheet C + matrix Sheet1 sub-process timing + escalation CONFIRMED by owner 2026-08-06 ("missed rounds should reach Rahul"; Rahul is the Clinic Manager, recorded as the job)	PROPOSED	OPN-002
HK-003	Cleanliness & Housekeeping	Housekeeping	Clinical areas	Slabs/worktops	Clean/disinfected	TIME	DAILY	Opening, between patients, and closing	Assistant		Clinic Manager	CRITICAL	CONFIRMATION	Checklist			Exception	Assistant	Clinic Manager	Clinic Head	Treatment-Room Hygiene %	REQUIRED_ON_REPEAT	DERIVED from Operation_App.xlsx sheet C + matrix Sheet1 sub-process timing + escalation CONFIRMED by owner 2026-08-06 ("missed rounds should reach Rahul"; Rahul is the Clinic Manager, recorded as the job)	PROPOSED	OPN-002
HK-004	Cleanliness & Housekeeping	Housekeeping	Clinical areas	Mirrors/glass	Clean	TIME	DAILY	Opening, between patients, and closing	Housekeeping		Clinic Manager	ROUTINE	CONFIRMATION	Checklist			Exception	Housekeeping	Clinic Manager	Clinic Head	Treatment-Room Hygiene %	NONE	DERIVED from Operation_App.xlsx sheet C + matrix Sheet1 sub-process timing + escalation CONFIRMED by owner 2026-08-06 ("missed rounds should reach Rahul"; Rahul is the Clinic Manager, recorded as the job)	PROPOSED	NONE_FOUND
HK-005	Cleanliness & Housekeeping	Housekeeping	Clinical areas	Floors	Clean/dry	TIME	DAILY	Opening, between patients, and closing	Housekeeping		Clinic Manager	IMPORTANT	CONFIRMATION	Checklist			Exception	Housekeeping	Clinic Manager	Clinic Head	Treatment-Room Hygiene %	REQUIRED_ON_REPEAT	DERIVED from Operation_App.xlsx sheet C + matrix Sheet1 sub-process timing + escalation CONFIRMED by owner 2026-08-06 ("missed rounds should reach Rahul"; Rahul is the Clinic Manager, recorded as the job)	PROPOSED	OPN-002
HK-006	Cleanliness & Housekeeping	Housekeeping	High-touch areas	Door handles	Clean/disinfected	TIME	DECISION_REQUIRED	DECISION_REQUIRED	Housekeeping		Clinic Manager	IMPORTANT	CONFIRMATION	Checklist			Exception	Housekeeping	Clinic Manager	Clinic Head	Housekeeping Compliance %	REQUIRED_ON_REPEAT	DERIVED from Operation_App.xlsx sheet C + escalation CONFIRMED by owner 2026-08-06 ("missed rounds should reach Rahul"; Rahul is the Clinic Manager, recorded as the job)	PROPOSED	NONE_FOUND
HK-007	Cleanliness & Housekeeping	Housekeeping	High-touch areas	Switches/high-touch surfaces	Clean	TIME	DECISION_REQUIRED	DECISION_REQUIRED	Housekeeping		Clinic Manager	IMPORTANT	CONFIRMATION	Checklist			Exception	Housekeeping	Clinic Manager	Clinic Head	Housekeeping Compliance %	REQUIRED_ON_REPEAT	DERIVED from Operation_App.xlsx sheet C + escalation CONFIRMED by owner 2026-08-06 ("missed rounds should reach Rahul"; Rahul is the Clinic Manager, recorded as the job)	PROPOSED	NONE_FOUND
HK-008	Cleanliness & Housekeeping	Housekeeping	Washrooms	Washbasins/faucets	Clean/functioning	TIME	DECISION_REQUIRED	DECISION_REQUIRED	Housekeeping		Clinic Manager	IMPORTANT	CONFIRMATION	Checklist		Auto-create follow-on task: Maintenance ticket if defective	Maintenance ticket if defective	Housekeeping	Clinic Manager	Clinic Head	Washroom Compliance %	REQUIRED_ON_REPEAT	DERIVED from Operation_App.xlsx sheet C + escalation CONFIRMED by owner 2026-08-06 ("missed rounds should reach Rahul"; Rahul is the Clinic Manager, recorded as the job)	PROPOSED	NONE_FOUND
HK-009	Cleanliness & Housekeeping	Housekeeping	Washrooms	Toilets	Clean/hygienic	TIME	DECISION_REQUIRED	DECISION_REQUIRED	Housekeeping	Manager	Clinic Manager	IMPORTANT	CONFIRMATION	Checklist			Alert	Housekeeping	Clinic Manager	Clinic Head	Washroom Compliance %	REQUIRED_ON_REPEAT	DERIVED from Operation_App.xlsx sheet C + escalation CONFIRMED by owner 2026-08-06 ("missed rounds should reach Rahul"; Rahul is the Clinic Manager, recorded as the job)	PROPOSED	NONE_FOUND
HK-010	Cleanliness & Housekeeping	Housekeeping	Washrooms	Soap/hand wash	Available	TIME	DECISION_REQUIRED	DECISION_REQUIRED	Housekeeping		Clinic Manager	CRITICAL	VALUE	Qty/status		Auto-create follow-on task: Refill task	Refill task	Housekeeping	Clinic Manager	Clinic Head	Washroom Compliance %	REQUIRED_ON_REPEAT	DERIVED from Operation_App.xlsx sheet C + escalation CONFIRMED by owner 2026-08-06 ("missed rounds should reach Rahul"; Rahul is the Clinic Manager, recorded as the job)	PROPOSED	INV-001 — covers clinical consumables, not washroom supplies
