Activity ID	Parameter	Process	Sub-Process	Activity	Standard / Expected Result	Trigger	Frequency	Due Rule	Doer	Checker	Accountable Owner	Priority	Evidence Type	Evidence Required	Dependency / Gate	Automation Rule	Failure Definition	Escalation L1	Escalation L2	Escalation L3	KPI	CAPA Requirement
ATT-001	Attendance & Leave	Attendance	Daily Attendance	Report for duty	All scheduled staff checked in by 09:45	TIME	DAILY	09:45	All Staff	Clinic Manager	Clinic Head	IMPORTANT	SYSTEM	Check-in timestamp		Late/absence detection	Check-in after deadline	Employee	Manager	Clinic Head	On-Time Attendance %	REQUIRED_ON_REPEAT
ATT-002	Attendance & Leave	Attendance	Daily Attendance	Record checkout	All present staff record end-of-shift checkout	TIME	DAILY	Shift end	All Staff	Clinic Manager	Clinic Head	ROUTINE	SYSTEM	Checkout timestamp		Missing checkout alert	No checkout	Employee	Manager	Clinic Head	Attendance Record Completeness %	NONE
ATT-003	Attendance & Leave	Attendance	Daily Attendance	Submit planned leave	Planned leave submitted in advance per policy	MANUAL	AS_REQUIRED	Policy-defined	Employee	Reporting Manager	Clinic Head	IMPORTANT	ATTACHMENT	Leave request	Leave policy	Approval workflow	Insufficient notice/unapproved leave	Employee	Manager	Clinic Head	Planned Leave Compliance %	REQUIRED_ON_REPEAT
ATT-004	Attendance & Leave	Attendance	Daily Attendance	Approve/reject leave	Every submitted leave has disposition and coverage check	EVENT	AS_REQUIRED	Before leave	Reporting Manager	Clinic Head	Clinic Head	IMPORTANT	VERIFICATION	Decision	Leave submitted	Approval notification	Pending beyond SLA	Manager	Clinic Head	Owner	Leave Approval SLA %	NONE
OPN-001	Opening Readiness	Opening	Clinic Opening	Open clinic/floors	Required clinic areas opened before first patient	TIME	DAILY	Before first patient	Assigned Opening Staff	Clinic Manager	Clinic Head	CRITICAL	CONFIRMATION	Opening checklist		Generate opening checklist	Area not opened	Doer	Manager	Clinic Head	Opening On-Time %	REQUIRED_ON_REPEAT
OPN-002	Opening Readiness	Opening	Clinic Opening	Treatment room readiness	All scheduled operatories clean, stocked and functional	TIME	DAILY	Before first patient	Dental Assistant	Senior Assistant	Clinic Manager	CRITICAL	CONFIRMATION	Room checklist	Chair/equipment status	Readiness aggregation	Room not ready	Assistant	Senior Assistant	Manager	Room Readiness %	REQUIRED_ON_REPEAT
OPN-003	Opening Readiness	Opening	Clinic Opening	Reception readiness	Phones, appointment list, payment/reception systems ready	TIME	DAILY	Before first patient	Reception	Reception Lead	Clinic Manager	IMPORTANT	CONFIRMATION	Reception checklist		Generate task	Reception not ready	Reception	Lead	Manager	Reception Readiness %	REQUIRED_ON_REPEAT
OPN-004	Opening Readiness	Opening	Clinic Opening	Environment readiness	AC 24°C where applicable, diffuser/lights as schedule	TIME	DAILY	Opening	Housekeeping/Assistant	Clinic Manager	Clinic Manager	ROUTINE	VALUE	Checklist/value		Generate task	Environment outside standard	Doer	Manager	Clinic Head	Environment Compliance %	NONE
OPN-005	Opening Readiness	Opening	Clinic Opening	Emergency readiness quick check	Emergency equipment/critical items available and accessible	TIME	DAILY	Opening	Assigned Assistant	Doctor/Manager	Clinical Director	PATIENT_SAFETY	VERIFICATION	Pass/fail	Emergency inventory	Block/exception if fail	Critical emergency item unavailable	Assistant	Clinical Director	Clinic Head	Emergency Readiness %	REQUIRED_ON_CRITICAL
APT-001	Appointments & Reception	Appointment Management	Daily Schedule	Confirm today's patients	All today's patients contacted/confirmed early morning	TIME	DAILY	Morning	Reception	Reception Lead	Clinic Manager	IMPORTANT	SYSTEM	Contact outcome	Today's appointments	Generate confirmation queue	Unresolved confirmation	Reception	Lead	Manager	Confirmation %	REQUIRED_ON_REPEAT
APT-002	Appointments & Reception	Appointment Management	Daily Schedule	Retry no-response confirmations	Configured retry attempts completed	EVENT	DAILY	Before appointment	Reception	Reception Lead	Clinic Manager	IMPORTANT	SYSTEM	Call log	No response	Retry workflow	Retry not completed	Reception	Lead	Manager	Confirmation Resolution %	NONE
APT-003	Appointments & Reception	Appointment Management	Daily Schedule	Review reminders and recalls	Due reminders/recalls actioned	TIME	DAILY	Morning	Reception	Reception Lead	Clinic Manager	ROUTINE	SYSTEM	Communication log		Generate queue	Due reminder missed	Reception	Lead	Manager	Recall Contact %	NONE
APT-004	Appointments & Reception	Appointment Management	Daily Schedule	Patient arrival registration	Arrival recorded and record verified	EVENT	PER_PATIENT	At arrival	Reception	Reception Lead	Clinic Manager	IMPORTANT	SYSTEM	Arrival timestamp	Appointment/patient	Patient flow transition	Arrival not recorded	Reception	Lead	Manager	Registration Completeness %	NONE
APT-005	Appointments & Reception	Appointment Management	Daily Schedule	Manage waiting patient	Waiting time monitored against threshold	THRESHOLD	CONTINUOUS	Configured minutes	Reception	Clinic Manager	Clinic Manager	IMPORTANT	SYSTEM	Wait timestamp	Arrival	Wait alert	Wait exceeds threshold	Reception	Manager	Clinic Head	Average Waiting Time	REQUIRED_ON_REPEAT
